,precision,recall,f1-score,support
0.0,0.940125750214347,0.942145209795217,0.9411343966812101,6983.0
1.0,0.9414831981460023,0.9394421159127041,0.9404615495912609,6919.0
accuracy,0.9407998849086462,0.9407998849086462,0.9407998849086462,0.9407998849086462
macro avg,0.9408044741801747,0.9407936628539606,0.9407979731362355,13902.0
weighted avg,0.9408013495697723,0.9407998849086462,0.9407995219138847,13902.0
