,precision,recall,f1-score,support
0.0,0.9359787579288981,0.9154523156831627,0.925601750547046,6931.0
1.0,0.9177312929945248,0.9377420743078468,0.9276287782034909,6971.0
accuracy,0.926629261976694,0.926629261976694,0.926629261976694,0.926629261976694
macro avg,0.9268550254617114,0.9265971949955047,0.9266152643752684,13902.0
weighted avg,0.9268287738936862,0.926629261976694,0.9266181805422321,13902.0
