,precision,recall,f1-score,support
0.0,0.9496381182147166,0.9113008247721024,0.9300745772723916,6911.0
1.0,0.9156808803301238,0.9522242883707625,0.9335951195568334,6991.0
accuracy,0.9318803049920875,0.9318803049920875,0.9318803049920875,0.9318803049920875
macro avg,0.9326594992724202,0.9317625565714325,0.9318348484146125,13902.0
weighted avg,0.9325617946604663,0.9318803049920875,0.9318449780140498,13902.0
