a,b,c,d,e,f,g
Model_A,Model_A_9,Model_A,3,0.99745286,0.952908,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_A/Model_A_9/27149397
Model_B,Model_B_0,Model_B,2,0.99315953,0.9420573,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_0/27345767
Model_B,Model_B_0,Model_B,3,0.99477965,0.9467593,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_0/27345767
Model_B,Model_B_0,Model_B,2,0.99754286,0.9528356,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_0/27212652
Model_B,Model_B_1,Model_B,0,0.9938166,0.9464699,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_1/27212654
Model_B,Model_B_1,Model_B,4,0.99756086,0.95703125,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_1/27212654
Model_B,Model_B_1,Model_B,1,0.9980649,0.9551505,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_1/27371037
Model_B,Model_B_2,Model_B,1,0.97289026,0.91681135,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_2/27371072
Model_B,Model_B_2,Model_B,3,0.99601275,0.95471644,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_2/27371072
Model_B,Model_B_2,Model_B,1,0.99783987,0.95261866,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_2/27212656
Model_B,Model_B_3,Model_B,1,0.99485165,0.94292533,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_3/27212657
Model_B,Model_B_3,Model_B,2,0.99602175,0.9420573,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_3/27212657
Model_B,Model_B_3,Model_B,4,0.9903334,0.9342448,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_3/27212657
Model_B,Model_B_4,Model_B,0,0.9930155,0.94024885,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_4/27212658
Model_B,Model_B_4,Model_B,3,0.98947537,0.92684335,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_4/27212658
Model_B,Model_B_4,Model_B,4,0.9962849,0.94239634,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_4/27212658
Model_B,Model_B_5,Model_B,1,0.98876727,0.92614293,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_5/27212660
Model_B,Model_B_5,Model_B,3,0.9969758,0.9517506,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_5/27212660
Model_B,Model_B_5,Model_B,1,0.99048287,0.9357719,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_5/27371101
Model_B,Model_B_5,Model_B,3,0.99321747,0.9445565,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_5/27371101
Model_B,Model_B_6,Model_B,0,0.99487865,0.94538486,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_6/27212663
Model_B,Model_B_6,Model_B,1,0.99506766,0.95269096,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_6/27212663
Model_B,Model_B_6,Model_B,3,0.9967508,0.9508102,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_6/27212663
Model_B,Model_B_7,Model_B,1,0.9980379,0.9539207,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_7/27212667
