,precision,recall,f1-score,support
0,0.9300476947535771,0.9251449657353716,0.9275898520084567,1897.0
1,0.923942153186931,0.9289176090468497,0.9264232008592912,1857.0
accuracy,0.9270111880660629,0.9270111880660629,0.9270111880660629,0.9270111880660629
macro avg,0.926994923970254,0.9270312873911106,0.9270065264338739,3754.0
weighted avg,0.9270274521618718,0.9270111880660629,0.9270127419434593,3754.0
