,precision,recall,f1-score,support
0,0.9516616314199395,0.9095283926852743,0.9301181102362204,2078.0
1,0.8896065766294774,0.9404096834264432,0.9143029571514786,1611.0
accuracy,0.9230143670371375,0.9230143670371375,0.9230143670371375,0.9230143670371375
macro avg,0.9206341040247085,0.9249690380558587,0.9222105336938495,3689.0
weighted avg,0.9245619585363846,0.9230143670371375,0.9232115741506907,3689.0
