,precision,recall,f1-score,support
0,0.9302325581395349,0.9035863996273871,0.9167158889545186,8588.0
1,0.9474051959601093,0.9624443440665935,0.954865556978233,15497.0
accuracy,0.9414573385924849,0.9414573385924849,0.9414573385924849,0.9414573385924849
macro avg,0.938818877049822,0.9330153718469902,0.9357907229663758,24085.0
weighted avg,0.9412819402572614,0.9414573385924849,0.9412625115562833,24085.0
