,precision,recall,f1-score,support
0,0.9439701173959445,0.926663174436878,0.9352365847211207,1909.0
1,0.9355432780847146,0.9508656995788488,0.9431422603852403,2137.0
accuracy,0.9394463667820069,0.9394463667820069,0.9394463667820069,0.9394463667820069
macro avg,0.9397566977403295,0.9387644370078634,0.9391894225531805,4046.0
weighted avg,0.9395192633158411,0.9394463667820069,0.9394121726831137,4046.0
