,precision,recall,f1-score,support
0,0.9329788827317658,0.9178576690732282,0.9253565062388592,13574.0
1,0.8828412314805085,0.9037323867914381,0.8931646646114595,9297.0
accuracy,0.9121157798084911,0.9121157798084911,0.9121157798084911,0.9121157798084911
macro avg,0.9079100571061371,0.9107950279323331,0.9092605854251594,22871.0
weighted avg,0.9125980623180131,0.9121157798084911,0.9122706091810158,22871.0
