,precision,recall,f1-score,support
0,0.9410112359550562,0.8675946908384591,0.9028128684520802,9267.0
1,0.9264035508637236,0.9683992726816728,0.946936022807394,15949.0
accuracy,0.9313531091370558,0.9313531091370558,0.9313531091370558,0.9313531091370558
macro avg,0.9337073934093899,0.9179969817600659,0.9248744456297371,25216.0
weighted avg,0.9317719446510563,0.9313531091370558,0.9307205536048759,25216.0
