,precision,recall,f1-score,support
0,0.9284068099026095,0.9199941063798438,0.9241813135985198,13574.0
1,0.8847133757961784,0.8964181994191674,0.8905273280974516,9297.0
accuracy,0.9104105635958201,0.9104105635958201,0.9104105635958201,0.9104105635958201
macro avg,0.906560092849394,0.9082061528995056,0.9073543208479857,22871.0
weighted avg,0.9106455464297623,0.9104105635958201,0.9105010589877276,22871.0
