,precision,recall,f1-score,support
0,0.9290322580645162,0.9235702832709781,0.9262932189761458,1871.0
1,0.9255596043727226,0.930890052356021,0.9282171756721483,1910.0
accuracy,0.9272679185400687,0.9272679185400687,0.9272679185400687,0.9272679185400687
macro avg,0.9272959312186193,0.9272301678134995,0.9272551973241471,3781.0
weighted avg,0.9272780214733165,0.9272679185400687,0.9272651198725661,3781.0
