,precision,recall,f1-score,support
0,0.9414225941422594,0.9155645981688708,0.928313563692625,1966.0
1,0.9023529411764706,0.9319562575941677,0.9169157202630005,1646.0
accuracy,0.9230343300110742,0.9230343300110742,0.9230343300110742,0.9230343300110742
macro avg,0.921887767659365,0.9237604278815192,0.9226146419778127,3612.0
weighted avg,0.9236184278128883,0.9230343300110742,0.9231195298373754,3612.0
