,precision,recall,f1-score,support
0,0.92711034284068,0.9367586056327778,0.9319095022624435,13741.0
1,0.9075728568389704,0.8939759036144578,0.9007230696152425,9545.0
accuracy,0.9192218500386499,0.9192218500386499,0.9192218500386499,0.9192218500386499
macro avg,0.9173415998398251,0.9153672546236178,0.916316285938843,23286.0
weighted avg,0.9191018697716119,0.9192218500386499,0.9191260916458699,23286.0
